Region,Hour of year,Cumulative contrail warming
European Airspace,0.0,0.1076
European Airspace,1.1112,7.5765
European Airspace,2.2225,13.5595
European Airspace,3.3337,18.7201
European Airspace,4.445,23.3483
European Airspace,5.5562,27.5565
European Airspace,6.6674,31.4186
European Airspace,7.7787,35.0439
European Airspace,8.8899,38.4323
European Airspace,10.0012,41.6004
European Airspace,11.1124,44.5754
European Airspace,12.2236,47.3798
European Airspace,13.3349,50.0369
European Airspace,14.4461,52.5554
European Airspace,15.5574,54.9662
European Airspace,16.6686,57.2767
European Airspace,17.7798,59.4888
European Airspace,18.8911,61.6069
European Airspace,20.0023,63.6315
European Airspace,21.1136,65.5723
European Airspace,22.2248,67.428
European Airspace,23.336,69.2091
European Airspace,24.4473,70.9166
European Airspace,25.5585,72.5598
European Airspace,26.6698,74.1327
European Airspace,27.781,75.6438
European Airspace,28.8922,77.0855
European Airspace,30.0035,78.4704
European Airspace,31.1147,79.8082
European Airspace,32.226,81.1016
European Airspace,33.3372,82.3479
European Airspace,34.4484,83.5466
European Airspace,35.5597,84.6984
European Airspace,36.6709,85.8076
European Airspace,37.7822,86.8741
European Airspace,38.8934,87.8986
European Airspace,40.0046,88.883
European Airspace,41.1159,89.833
European Airspace,42.2271,90.7436
European Airspace,43.3383,91.6218
European Airspace,44.4496,92.4669
European Airspace,45.5608,93.2819
European Airspace,46.6721,94.0689
European Airspace,47.7833,94.8222
European Airspace,48.8945,95.5474
European Airspace,50.0058,96.2443
European Airspace,51.117,96.913
European Airspace,52.2283,97.5537
European Airspace,53.3395,98.1666
European Airspace,54.4507,98.7547
European Airspace,55.562,99.3186
European Airspace,56.6732,99.8555
European Airspace,57.7845,100.3656
European Airspace,58.8957,100.8466
European Airspace,60.0069,101.302
European Airspace,61.1182,101.7323
European Airspace,62.2294,102.1352
European Airspace,63.3407,102.5156
European Airspace,64.4519,102.8676
European Airspace,65.5631,103.1955
European Airspace,66.6744,103.5012
European Airspace,67.7856,103.7838
European Airspace,68.8969,104.0415
European Airspace,70.0081,104.2739
European Airspace,71.1193,104.4819
European Airspace,72.2306,104.6686
European Airspace,73.3418,104.8349
European Airspace,74.4531,104.979
European Airspace,75.5643,105.1028
European Airspace,76.6755,105.2057
European Airspace,77.7868,105.2887
European Airspace,78.898,105.3535
European Airspace,80.0093,105.3995
European Airspace,81.1205,105.4299
European Airspace,82.2317,105.4416
European Airspace,83.343,105.4329
European Airspace,84.4542,105.4012
European Airspace,85.5655,105.342
European Airspace,86.6767,105.2562
European Airspace,87.7879,105.1449
European Airspace,88.8992,105.0041
European Airspace,90.0104,104.8284
European Airspace,91.1217,104.6139
European Airspace,92.2329,104.3569
European Airspace,93.3441,104.0524
European Airspace,94.4554,103.6886
European Airspace,95.5666,103.2604
European Airspace,96.6779,102.7438
European Airspace,97.7891,102.107
European Airspace,98.9003,101.2981
North Atlantic,0.0,0.1554
North Atlantic,1.1112,7.792
North Atlantic,2.2225,13.2097
North Atlantic,3.3337,17.8295
North Atlantic,4.445,21.9804
North Atlantic,5.5562,25.7827
North Atlantic,6.6674,29.292
North Atlantic,7.7787,32.5993
North Atlantic,8.8899,35.7277
North Atlantic,10.0012,38.6776
North Atlantic,11.1124,41.4738
North Atlantic,12.2236,44.1432
North Atlantic,13.3349,46.6786
North Atlantic,14.4461,49.0994
North Atlantic,15.5574,51.4316
North Atlantic,16.6686,53.6763
North Atlantic,17.7798,55.8394
North Atlantic,18.8911,57.9156
North Atlantic,20.0023,59.9103
North Atlantic,21.1136,61.8232
North Atlantic,22.2248,63.6601
North Atlantic,23.336,65.4301
North Atlantic,24.4473,67.1341
North Atlantic,25.5585,68.7718
North Atlantic,26.6698,70.3553
North Atlantic,27.781,71.8786
North Atlantic,28.8922,73.3443
North Atlantic,30.0035,74.7585
North Atlantic,31.1147,76.1214
North Atlantic,32.226,77.4397
North Atlantic,33.3372,78.7139
North Atlantic,34.4484,79.9454
North Atlantic,35.5597,81.1341
North Atlantic,36.6709,82.2811
North Atlantic,37.7822,83.387
North Atlantic,38.8934,84.4535
North Atlantic,40.0046,85.4867
North Atlantic,41.1159,86.4883
North Atlantic,42.2271,87.4584
North Atlantic,43.3383,88.3934
North Atlantic,44.4496,89.2927
North Atlantic,45.5608,90.1548
North Atlantic,46.6721,90.9863
North Atlantic,47.7833,91.788
North Atlantic,48.8945,92.5634
North Atlantic,50.0058,93.3055
North Atlantic,51.117,94.0172
North Atlantic,52.2283,94.7007
North Atlantic,53.3395,95.3556
North Atlantic,54.4507,95.9814
North Atlantic,55.562,96.5812
North Atlantic,56.6732,97.1508
North Atlantic,57.7845,97.6929
North Atlantic,58.8957,98.2127
North Atlantic,60.0069,98.7105
North Atlantic,61.1182,99.1838
North Atlantic,62.2294,99.6326
North Atlantic,63.3407,100.0601
North Atlantic,64.4519,100.4695
North Atlantic,65.5631,100.8578
North Atlantic,66.6744,101.2272
North Atlantic,67.7856,101.574
North Atlantic,68.8969,101.8991
North Atlantic,70.0081,102.2018
North Atlantic,71.1193,102.4829
North Atlantic,72.2306,102.7448
North Atlantic,73.3418,102.99
North Atlantic,74.4531,103.2137
North Atlantic,75.5643,103.4171
North Atlantic,76.6755,103.6035
North Atlantic,77.7868,103.7701
North Atlantic,78.898,103.9195
North Atlantic,80.0093,104.0499
North Atlantic,81.1205,104.1616
North Atlantic,82.2317,104.2556
North Atlantic,83.343,104.3294
North Atlantic,84.4542,104.3863
North Atlantic,85.5655,104.4272
North Atlantic,86.6767,104.4503
North Atlantic,87.7879,104.452
North Atlantic,88.8992,104.4292
North Atlantic,90.0104,104.3764
North Atlantic,91.1217,104.2907
North Atlantic,92.2329,104.1696
North Atlantic,93.3441,104.0097
North Atlantic,94.4554,103.7927
North Atlantic,95.5666,103.4979
North Atlantic,96.6779,103.0991
North Atlantic,97.7891,102.5274
North Atlantic,98.9003,101.6832
Continental Europe,0.0,0.1658
Continental Europe,1.1112,12.338
Continental Europe,2.2225,21.5164
Continental Europe,3.3337,29.0009
Continental Europe,4.445,35.401
Continental Europe,5.5562,40.9882
Continental Europe,6.6674,45.9434
Continental Europe,7.7787,50.4637
Continental Europe,8.8899,54.6338
Continental Europe,10.0012,58.4906
Continental Europe,11.1124,62.0452
Continental Europe,12.2236,65.313
Continental Europe,13.3349,68.3466
Continental Europe,14.4461,71.1418
Continental Europe,15.5574,73.7333
Continental Europe,16.6686,76.1344
Continental Europe,17.7798,78.3733
Continental Europe,18.8911,80.4736
Continental Europe,20.0023,82.4261
Continental Europe,21.1136,84.2461
Continental Europe,22.2248,85.941
Continental Europe,23.336,87.5281
Continental Europe,24.4473,89.0228
Continental Europe,25.5585,90.4212
Continental Europe,26.6698,91.747
Continental Europe,27.781,93.0012
Continental Europe,28.8922,94.1887
Continental Europe,30.0035,95.3098
Continental Europe,31.1147,96.3683
Continental Europe,32.226,97.3712
Continental Europe,33.3372,98.3184
Continental Europe,34.4484,99.2089
Continental Europe,35.5597,100.0551
Continental Europe,36.6709,100.8573
Continental Europe,37.7822,101.616
Continental Europe,38.8934,102.325
Continental Europe,40.0046,102.9948
Continental Europe,41.1159,103.6234
Continental Europe,42.2271,104.2139
Continental Europe,43.3383,104.7684
Continental Europe,44.4496,105.2912
Continental Europe,45.5608,105.7857
Continental Europe,46.6721,106.252
Continental Europe,47.7833,106.6935
Continental Europe,48.8945,107.1102
Continental Europe,50.0058,107.5017
Continental Europe,51.117,107.8683
Continental Europe,52.2283,108.2129
Continental Europe,53.3395,108.533
Continental Europe,54.4507,108.8319
Continental Europe,55.562,109.1114
Continental Europe,56.6732,109.3705
Continental Europe,57.7845,109.6098
Continental Europe,58.8957,109.8276
Continental Europe,60.0069,110.0252
Continental Europe,61.1182,110.2072
Continental Europe,62.2294,110.3722
Continental Europe,63.3407,110.5199
Continental Europe,64.4519,110.653
Continental Europe,65.5631,110.7717
Continental Europe,66.6744,110.876
Continental Europe,67.7856,110.9673
Continental Europe,68.8969,111.0459
Continental Europe,70.0081,111.1122
Continental Europe,71.1193,111.1666
Continental Europe,72.2306,111.2088
Continental Europe,73.3418,111.2409
Continental Europe,74.4531,111.2617
Continental Europe,75.5643,111.2709
Continental Europe,76.6755,111.272
Continental Europe,77.7868,111.2635
Continental Europe,78.898,111.2377
Continental Europe,80.0093,111.1914
Continental Europe,81.1205,111.1234
Continental Europe,82.2317,111.0292
Continental Europe,83.343,110.9058
Continental Europe,84.4542,110.7499
Continental Europe,85.5655,110.5626
Continental Europe,86.6767,110.3387
Continental Europe,87.7879,110.0714
Continental Europe,88.8992,109.7469
Continental Europe,90.0104,109.3697
Continental Europe,91.1217,108.935
Continental Europe,92.2329,108.4242
Continental Europe,93.3441,107.8234
Continental Europe,94.4554,107.1081
Continental Europe,95.5666,106.264
Continental Europe,96.6779,105.2623
Continental Europe,97.7891,104.0612
Continental Europe,98.9003,102.5115
Global,0.0,0.0476
Global,1.096,3.6432
Global,2.192,6.7349
Global,3.288,9.5867
Global,4.3841,12.2623
Global,5.4801,14.806
Global,6.5761,17.2392
Global,7.6721,19.5691
Global,8.7681,21.7956
Global,9.8641,23.931
Global,10.9602,25.9918
Global,12.0562,27.9796
Global,13.1522,29.8962
Global,14.2482,31.7542
Global,15.3442,33.5626
Global,16.4402,35.3247
Global,17.5362,37.0435
Global,18.6323,38.7218
Global,19.7283,40.365
Global,20.8243,41.9764
Global,21.9203,43.5545
Global,23.0163,45.098
Global,24.1123,46.6107
Global,25.2084,48.0957
Global,26.3044,49.5538
Global,27.4004,50.9859
Global,28.4964,52.3924
Global,29.5924,53.7774
Global,30.6884,55.1385
Global,31.7845,56.4746
Global,32.8805,57.7811
Global,33.9765,59.0622
Global,35.0725,60.3229
Global,36.1685,61.5613
Global,37.2645,62.7798
Global,38.3605,63.9771
Global,39.4566,65.1518
Global,40.5526,66.3032
Global,41.6486,67.4326
Global,42.7446,68.5427
Global,43.8406,69.63
Global,44.9366,70.6947
Global,46.0327,71.7387
Global,47.1287,72.7635
Global,48.2247,73.772
Global,49.3207,74.7602
Global,50.4167,75.731
Global,51.5127,76.6845
Global,52.6087,77.6201
Global,53.7048,78.5392
Global,54.8008,79.4385
Global,55.8968,80.3173
Global,56.9928,81.174
Global,58.0888,82.0093
Global,59.1848,82.8227
Global,60.2809,83.6143
Global,61.3769,84.3862
Global,62.4729,85.1398
Global,63.5689,85.8758
Global,64.6649,86.5943
Global,65.7609,87.2943
Global,66.8569,87.9768
Global,67.953,88.6407
Global,69.049,89.288
Global,70.145,89.9184
Global,71.241,90.5321
Global,72.337,91.1292
Global,73.433,91.71
Global,74.5291,92.2766
Global,75.6251,92.828
Global,76.7211,93.3636
Global,77.8171,93.8827
Global,78.9131,94.3874
Global,80.0091,94.8767
Global,81.1051,95.3491
Global,82.2012,95.8048
Global,83.2972,96.245
Global,84.3932,96.6686
Global,85.4892,97.0774
Global,86.5852,97.4711
Global,87.6812,97.8505
Global,88.7773,98.2122
Global,89.8733,98.5524
Global,90.9693,98.8702
Global,92.0653,99.1639
Global,93.1613,99.4326
Global,94.2573,99.6707
Global,95.3534,99.8744
Global,96.4494,100.0299
Global,97.5454,100.1186
Global,98.6414,100.1207
Global,99.7374,100.077
USA,0.0,0.1672
USA,1.1112,11.1225
USA,2.2225,19.3388
USA,3.3337,26.1183
USA,4.445,32.0787
USA,5.5562,37.3722
USA,6.6674,42.1383
USA,7.7787,46.546
USA,8.8899,50.6153
USA,10.0012,54.3782
USA,11.1124,57.8877
USA,12.2236,61.161
USA,13.3349,64.22
USA,14.4461,67.104
USA,15.5574,69.8146
USA,16.6686,72.3713
USA,17.7798,74.7806
USA,18.8911,77.0499
USA,20.0023,79.1963
USA,21.1136,81.2324
USA,22.2248,83.1692
USA,23.336,85.0119
USA,24.4473,86.7609
USA,25.5585,88.422
USA,26.6698,89.9982
USA,27.781,91.4975
USA,28.8922,92.9232
USA,30.0035,94.2822
USA,31.1147,95.5714
USA,32.226,96.7916
USA,33.3372,97.9444
USA,34.4484,99.0396
USA,35.5597,100.0858
USA,36.6709,101.0743
USA,37.7822,102.0117
USA,38.8934,102.8966
USA,40.0046,103.7286
USA,41.1159,104.5098
USA,42.2271,105.2459
USA,43.3383,105.9392
USA,44.4496,106.5935
USA,45.5608,107.2114
USA,46.6721,107.7935
USA,47.7833,108.3463
USA,48.8945,108.8667
USA,50.0058,109.3522
USA,51.117,109.8015
USA,52.2283,110.2174
USA,53.3395,110.6021
USA,54.4507,110.9585
USA,55.562,111.2862
USA,56.6732,111.5882
USA,57.7845,111.8633
USA,58.8957,112.1118
USA,60.0069,112.3353
USA,61.1182,112.5335
USA,62.2294,112.7095
USA,63.3407,112.8644
USA,64.4519,112.9991
USA,65.5631,113.1148
USA,66.6744,113.2133
USA,67.7856,113.2937
USA,68.8969,113.3584
USA,70.0081,113.4087
USA,71.1193,113.4443
USA,72.2306,113.4648
USA,73.3418,113.4718
USA,74.4531,113.4663
USA,75.5643,113.4473
USA,76.6755,113.411
USA,77.7868,113.3581
USA,78.898,113.2867
USA,80.0093,113.1974
USA,81.1205,113.0874
USA,82.2317,112.9562
USA,83.343,112.7978
USA,84.4542,112.6084
USA,85.5655,112.3852
USA,86.6767,112.1264
USA,87.7879,111.8259
USA,88.8992,111.4818
USA,90.0104,111.0802
USA,91.1217,110.6072
USA,92.2329,110.0475
USA,93.3441,109.3779
USA,94.4554,108.5781
USA,95.5666,107.6313
USA,96.6779,106.4763
USA,97.7891,105.0378
USA,98.9003,103.1103
East Asia,0.0,0.2554
East Asia,1.1112,13.1126
East Asia,2.2225,22.6787
East Asia,3.3337,30.5991
East Asia,4.445,37.5544
East Asia,5.5562,43.656
East Asia,6.6674,49.1222
East Asia,7.7787,54.0841
East Asia,8.8899,58.6676
East Asia,10.0012,62.9726
East Asia,11.1124,67.0004
East Asia,12.2236,70.7749
East Asia,13.3349,74.348
East Asia,14.4461,77.7296
East Asia,15.5574,80.9268
East Asia,16.6686,83.9679
East Asia,17.7798,86.876
East Asia,18.8911,89.6592
East Asia,20.0023,92.315
East Asia,21.1136,94.8421
East Asia,22.2248,97.2582
East Asia,23.336,99.5718
East Asia,24.4473,101.7908
East Asia,25.5585,103.9213
East Asia,26.6698,105.9576
East Asia,27.781,107.9011
East Asia,28.8922,109.7634
East Asia,30.0035,111.5434
East Asia,31.1147,113.2364
East Asia,32.226,114.8437
East Asia,33.3372,116.3644
East Asia,34.4484,117.7949
East Asia,35.5597,119.1477
East Asia,36.6709,120.428
East Asia,37.7822,121.6264
East Asia,38.8934,122.7504
East Asia,40.0046,123.799
East Asia,41.1159,124.7752
East Asia,42.2271,125.6827
East Asia,43.3383,126.5337
East Asia,44.4496,127.3253
East Asia,45.5608,128.0644
East Asia,46.6721,128.7509
East Asia,47.7833,129.3787
East Asia,48.8945,129.9549
East Asia,50.0058,130.4809
East Asia,51.117,130.9577
East Asia,52.2283,131.385
East Asia,53.3395,131.7638
East Asia,54.4507,132.0948
East Asia,55.562,132.3833
East Asia,56.6732,132.6307
East Asia,57.7845,132.8444
East Asia,58.8957,133.0241
East Asia,60.0069,133.1711
East Asia,61.1182,133.289
East Asia,62.2294,133.3817
East Asia,63.3407,133.4475
East Asia,64.4519,133.4888
East Asia,65.5631,133.5121
East Asia,66.6744,133.522
East Asia,67.7856,133.5234
East Asia,68.8969,133.5157
East Asia,70.0081,133.4892
East Asia,71.1193,133.4415
East Asia,72.2306,133.3663
East Asia,73.3418,133.2628
East Asia,74.4531,133.1275
East Asia,75.5643,132.9554
East Asia,76.6755,132.7422
East Asia,77.7868,132.4861
East Asia,78.898,132.1884
East Asia,80.0093,131.8398
East Asia,81.1205,131.4372
East Asia,82.2317,130.9799
East Asia,83.343,130.4688
East Asia,84.4542,129.8843
East Asia,85.5655,129.2236
East Asia,86.6767,128.4849
East Asia,87.7879,127.6527
East Asia,88.8992,126.7099
East Asia,90.0104,125.6544
East Asia,91.1217,124.4587
East Asia,92.2329,123.1085
East Asia,93.3441,121.5954
East Asia,94.4554,119.8507
East Asia,95.5666,117.8379
East Asia,96.6779,115.4008
East Asia,97.7891,112.2744
East Asia,98.9003,107.8873
Southeast Asia,0.0,0.0921
Southeast Asia,1.1112,6.874
Southeast Asia,2.2225,12.4941
Southeast Asia,3.3337,17.5517
Southeast Asia,4.445,22.2105
Southeast Asia,5.5562,26.56
Southeast Asia,6.6674,30.6566
Southeast Asia,7.7787,34.5391
Southeast Asia,8.8899,38.2568
Southeast Asia,10.0012,41.8161
Southeast Asia,11.1124,45.2473
Southeast Asia,12.2236,48.5664
Southeast Asia,13.3349,51.7698
Southeast Asia,14.4461,54.8562
Southeast Asia,15.5574,57.8355
Southeast Asia,16.6686,60.7201
Southeast Asia,17.7798,63.5159
Southeast Asia,18.8911,66.2227
Southeast Asia,20.0023,68.8273
Southeast Asia,21.1136,71.3507
Southeast Asia,22.2248,73.7976
Southeast Asia,23.336,76.1634
Southeast Asia,24.4473,78.4549
Southeast Asia,25.5585,80.6728
Southeast Asia,26.6698,82.8238
Southeast Asia,27.781,84.9111
Southeast Asia,28.8922,86.9353
Southeast Asia,30.0035,88.8892
Southeast Asia,31.1147,90.7797
Southeast Asia,32.226,92.6056
Southeast Asia,33.3372,94.3656
Southeast Asia,34.4484,96.0715
Southeast Asia,35.5597,97.7112
Southeast Asia,36.6709,99.2873
Southeast Asia,37.7822,100.8008
Southeast Asia,38.8934,102.2548
Southeast Asia,40.0046,103.6498
Southeast Asia,41.1159,104.9811
Southeast Asia,42.2271,106.25
Southeast Asia,43.3383,107.4581
Southeast Asia,44.4496,108.6051
Southeast Asia,45.5608,109.6889
Southeast Asia,46.6721,110.7126
Southeast Asia,47.7833,111.6829
Southeast Asia,48.8945,112.5937
Southeast Asia,50.0058,113.4383
Southeast Asia,51.117,114.2037
Southeast Asia,52.2283,114.9
Southeast Asia,53.3395,115.5226
Southeast Asia,54.4507,116.0784
Southeast Asia,55.562,116.5738
Southeast Asia,56.6732,117.0037
Southeast Asia,57.7845,117.3636
Southeast Asia,58.8957,117.6441
Southeast Asia,60.0069,117.864
Southeast Asia,61.1182,118.0271
Southeast Asia,62.2294,118.1359
Southeast Asia,63.3407,118.1937
Southeast Asia,64.4519,118.2136
Southeast Asia,65.5631,118.2021
Southeast Asia,66.6744,118.1592
Southeast Asia,67.7856,118.0895
Southeast Asia,68.8969,117.9929
Southeast Asia,70.0081,117.8705
Southeast Asia,71.1193,117.7154
Southeast Asia,72.2306,117.5302
Southeast Asia,73.3418,117.317
Southeast Asia,74.4531,117.0773
Southeast Asia,75.5643,116.8098
Southeast Asia,76.6755,116.5176
Southeast Asia,77.7868,116.1961
Southeast Asia,78.898,115.8463
Southeast Asia,80.0093,115.4681
Southeast Asia,81.1205,115.0593
Southeast Asia,82.2317,114.618
Southeast Asia,83.343,114.1358
Southeast Asia,84.4542,113.6164
Southeast Asia,85.5655,113.063
Southeast Asia,86.6767,112.4707
Southeast Asia,87.7879,111.8339
Southeast Asia,88.8992,111.1554
Southeast Asia,90.0104,110.4278
Southeast Asia,91.1217,109.641
Southeast Asia,92.2329,108.7879
Southeast Asia,93.3441,107.8669
Southeast Asia,94.4554,106.8676
Southeast Asia,95.5666,105.7869
Southeast Asia,96.6779,104.6139
Southeast Asia,97.7891,103.3146
Southeast Asia,98.9003,101.8429
Latin America,0.0,0.1036
Latin America,1.1112,5.4024
Latin America,2.2225,9.7773
Latin America,3.3337,13.7383
Latin America,4.445,17.4376
Latin America,5.5562,20.915
Latin America,6.6674,24.237
Latin America,7.7787,27.4309
Latin America,8.8899,30.4922
Latin America,10.0012,33.4544
Latin America,11.1124,36.3229
Latin America,12.2236,39.0977
Latin America,13.3349,41.7952
Latin America,14.4461,44.4151
Latin America,15.5574,46.9614
Latin America,16.6686,49.4407
Latin America,17.7798,51.8568
Latin America,18.8911,54.2032
Latin America,20.0023,56.4827
Latin America,21.1136,58.701
Latin America,22.2248,60.8682
Latin America,23.336,62.9832
Latin America,24.4473,65.0483
Latin America,25.5585,67.0594
Latin America,26.6698,69.0219
Latin America,27.781,70.9385
Latin America,28.8922,72.7998
Latin America,30.0035,74.6069
Latin America,31.1147,76.3621
Latin America,32.226,78.0736
Latin America,33.3372,79.7332
Latin America,34.4484,81.3435
Latin America,35.5597,82.9131
Latin America,36.6709,84.4422
Latin America,37.7822,85.9284
Latin America,38.8934,87.3641
Latin America,40.0046,88.7479
Latin America,41.1159,90.0827
Latin America,42.2271,91.3632
Latin America,43.3383,92.5957
Latin America,44.4496,93.7839
Latin America,45.5608,94.9197
Latin America,46.6721,96.0028
Latin America,47.7833,97.0385
Latin America,48.8945,98.0267
Latin America,50.0058,98.96
Latin America,51.117,99.8406
Latin America,52.2283,100.6735
Latin America,53.3395,101.4555
Latin America,54.4507,102.1905
Latin America,55.562,102.8673
Latin America,56.6732,103.4703
Latin America,57.7845,104.0148
Latin America,58.8957,104.5051
Latin America,60.0069,104.9318
Latin America,61.1182,105.3006
Latin America,62.2294,105.6119
Latin America,63.3407,105.8824
Latin America,64.4519,106.1187
Latin America,65.5631,106.3198
Latin America,66.6744,106.4858
Latin America,67.7856,106.6192
Latin America,68.8969,106.7274
Latin America,70.0081,106.811
Latin America,71.1193,106.8712
Latin America,72.2306,106.9081
Latin America,73.3418,106.924
Latin America,74.4531,106.9217
Latin America,75.5643,106.9023
Latin America,76.6755,106.8639
Latin America,77.7868,106.8073
Latin America,78.898,106.7296
Latin America,80.0093,106.6287
Latin America,81.1205,106.51
Latin America,82.2317,106.3715
Latin America,83.343,106.2138
Latin America,84.4542,106.0361
Latin America,85.5655,105.8361
Latin America,86.6767,105.6129
Latin America,87.7879,105.3664
Latin America,88.8992,105.0951
Latin America,90.0104,104.7979
Latin America,91.1217,104.474
Latin America,92.2329,104.1203
Latin America,93.3441,103.7348
Latin America,94.4554,103.3066
Latin America,95.5666,102.8302
Latin America,96.6779,102.2952
Latin America,97.7891,101.6879
Latin America,98.9003,100.9589
Africa & Middle East,0.0,0.174
Africa & Middle East,1.096,9.3929
Africa & Middle East,2.192,16.0445
Africa & Middle East,3.288,21.7663
Africa & Middle East,4.3841,26.8085
Africa & Middle East,5.4801,31.3663
Africa & Middle East,6.5761,35.5022
Africa & Middle East,7.6721,39.2977
Africa & Middle East,8.7681,42.842
Africa & Middle East,9.8641,46.1746
Africa & Middle East,10.9602,49.3357
Africa & Middle East,12.0562,52.3405
Africa & Middle East,13.1522,55.1961
Africa & Middle East,14.2482,57.9232
Africa & Middle East,15.3442,60.5283
Africa & Middle East,16.4402,63.0109
Africa & Middle East,17.5362,65.3821
Africa & Middle East,18.6323,67.6578
Africa & Middle East,19.7283,69.8466
Africa & Middle East,20.8243,71.9455
Africa & Middle East,21.9203,73.9543
Africa & Middle East,23.0163,75.8927
Africa & Middle East,24.1123,77.7549
Africa & Middle East,25.2084,79.5459
Africa & Middle East,26.3044,81.277
Africa & Middle East,27.4004,82.9406
Africa & Middle East,28.4964,84.5351
Africa & Middle East,29.5924,86.0622
Africa & Middle East,30.6884,87.5229
Africa & Middle East,31.7845,88.9207
Africa & Middle East,32.8805,90.2584
Africa & Middle East,33.9765,91.5451
Africa & Middle East,35.0725,92.7769
Africa & Middle East,36.1685,93.9522
Africa & Middle East,37.2645,95.0651
Africa & Middle East,38.3605,96.1324
Africa & Middle East,39.4566,97.1497
Africa & Middle East,40.5526,98.1169
Africa & Middle East,41.6486,99.0396
Africa & Middle East,42.7446,99.9185
Africa & Middle East,43.8406,100.748
Africa & Middle East,44.9366,101.529
Africa & Middle East,46.0327,102.2614
Africa & Middle East,47.1287,102.9559
Africa & Middle East,48.2247,103.6137
Africa & Middle East,49.3207,104.2336
Africa & Middle East,50.4167,104.8154
Africa & Middle East,51.5127,105.3573
Africa & Middle East,52.6087,105.8663
Africa & Middle East,53.7048,106.3435
Africa & Middle East,54.8008,106.7837
Africa & Middle East,55.8968,107.187
Africa & Middle East,56.9928,107.5527
Africa & Middle East,58.0888,107.8801
Africa & Middle East,59.1848,108.1772
Africa & Middle East,60.2809,108.4462
Africa & Middle East,61.3769,108.6891
Africa & Middle East,62.4729,108.9055
Africa & Middle East,63.5689,109.0999
Africa & Middle East,64.6649,109.2722
Africa & Middle East,65.7609,109.4233
Africa & Middle East,66.8569,109.5525
Africa & Middle East,67.953,109.6635
Africa & Middle East,69.049,109.7566
Africa & Middle East,70.145,109.8322
Africa & Middle East,71.241,109.8931
Africa & Middle East,72.337,109.9411
Africa & Middle East,73.433,109.9755
Africa & Middle East,74.5291,109.997
Africa & Middle East,75.6251,110.0066
Africa & Middle East,76.7211,110.0068
Africa & Middle East,77.8171,110.0045
Africa & Middle East,78.9131,109.9913
Africa & Middle East,80.0091,109.9635
Africa & Middle East,81.1051,109.9156
Africa & Middle East,82.2012,109.8455
Africa & Middle East,83.2972,109.7505
Africa & Middle East,84.3932,109.6291
Africa & Middle East,85.4892,109.4763
Africa & Middle East,86.5852,109.2893
Africa & Middle East,87.6812,109.0739
Africa & Middle East,88.7773,108.8229
Africa & Middle East,89.8733,108.526
Africa & Middle East,90.9693,108.1826
Africa & Middle East,92.0653,107.7804
Africa & Middle East,93.1613,107.3128
Africa & Middle East,94.2573,106.7597
Africa & Middle East,95.3534,106.1192
Africa & Middle East,96.4494,105.3371
Africa & Middle East,97.5454,104.3433
Africa & Middle East,98.6414,103.0485
Africa & Middle East,99.7374,100.9301
China,0.0,0.2198
China,1.1112,11.0171
China,2.2225,18.9433
China,3.3337,25.4675
China,4.445,31.1761
China,5.5562,36.2928
China,6.6674,40.9241
China,7.7787,45.1508
China,8.8899,49.1148
China,10.0012,52.8194
China,11.1124,56.2961
China,12.2236,59.5829
China,13.3349,62.6879
China,14.4461,65.6314
China,15.5574,68.4392
China,16.6686,71.1314
China,17.7798,73.7096
China,18.8911,76.1696
China,20.0023,78.5262
China,21.1136,80.794
China,22.2248,82.9807
China,23.336,85.0921
China,24.4473,87.1333
China,25.5585,89.1155
China,26.6698,91.04
China,27.781,92.891
China,28.8922,94.677
China,30.0035,96.4087
China,31.1147,98.0795
China,32.226,99.696
China,33.3372,101.2592
China,34.4484,102.7689
China,35.5597,104.2235
China,36.6709,105.6302
China,37.7822,106.9853
China,38.8934,108.2793
China,40.0046,109.5166
China,41.1159,110.7023
China,42.2271,111.8389
China,43.3383,112.9227
China,44.4496,113.9517
China,45.5608,114.9382
China,46.6721,115.876
China,47.7833,116.7668
China,48.8945,117.6094
China,50.0058,118.4033
China,51.117,119.147
China,52.2283,119.8409
China,53.3395,120.4842
China,54.4507,121.0774
China,55.562,121.6204
China,56.6732,122.1147
China,57.7845,122.5596
China,58.8957,122.9583
China,60.0069,123.3084
China,61.1182,123.613
China,62.2294,123.8742
China,63.3407,124.0964
China,64.4519,124.2808
China,65.5631,124.4247
China,66.6744,124.532
China,67.7856,124.6065
China,68.8969,124.6476
China,70.0081,124.6624
China,71.1193,124.6447
China,72.2306,124.5947
China,73.3418,124.5178
China,74.4531,124.4125
China,75.5643,124.2783
China,76.6755,124.1173
China,77.7868,123.9259
China,78.898,123.7038
China,80.0093,123.4493
China,81.1205,123.1584
China,82.2317,122.8259
China,83.343,122.4505
China,84.4542,122.0287
China,85.5655,121.5589
China,86.6767,121.0341
China,87.7879,120.4519
China,88.8992,119.8069
China,90.0104,119.0847
China,91.1217,118.2752
China,92.2329,117.3613
China,93.3441,116.3181
China,94.4554,115.1101
China,95.5666,113.6792
China,96.6779,111.9407
China,97.7891,109.678
China,98.9003,106.2883
India,0.0,0.2027
India,1.1112,10.0051
India,2.2225,17.4583
India,3.3337,23.9621
India,4.445,29.8162
India,5.5562,35.1507
India,6.6674,40.0884
India,7.7787,44.682
India,8.8899,48.9823
India,10.0012,53.0494
India,11.1124,56.8943
India,12.2236,60.5605
